t,u,y,uv,yv
0.0,1,0.0,2.5,0.0
0.01,1,0.2144283328416086,2.5,0.2439118328416086
0.02,1,0.8852316094397783,2.5,0.9431981727858516
0.03,1,0.0727554334216407,2.5,0.15825202643204
0.04,1,0.6720538994191371,2.5,0.784172625982858
0.05,1,-0.6409683850293955,2.5,-0.5030924405699755
0.06,1,0.14430624579336754,2.5,0.3071154189350725
0.07,1,-0.6703785427094608,2.5,-0.48342115948416087
0.08,1,0.3431948808071063,2.5,0.5535525637893214
0.09,1,0.28548114303553795,2.5,0.518526550395459
0.1,1,0.6929289616833316,2.5,0.9479831644278567
0.11,1,0.8471654488435159,2.5,1.1235815565158378
0.12,1,0.15228795973643308,2.5,0.44944958941983104
0.13,1,0.4913108788562571,2.5,0.8086306973579472
0.14,1,-0.6211596029639199,2.5,-0.284241267246833
0.15,1,0.3312682396247801,2.5,0.6872517607615711
0.16,1,-0.4410308627965514,2.5,-0.06649040683143648
0.17,1,0.7853206637505532,2.5,1.1779336867139012
0.18,1,0.4326023740391252,2.5,0.8428263377731452
0.19,1,0.9522528286247244,2.5,1.3796477618917413
0.2,1,0.592382371373628,2.5,1.036528923252062
0.21,1,0.07598155940616799,2.5,0.5364800140729661
0.22,1,0.1985658630609849,2.5,0.6750352016662918
0.23,1,-0.6114237109923912,2.5,-0.11934670360928712
0.24,1,0.4273836248267869,2.5,0.9347220389299558
0.25,1,-0.19834722422667736,2.5,0.32392247771260957
0.26,1,1.1603361861148185,2.5,1.6972224289644564
0.27,1,0.44877883064933677,2.5,0.9999815050892449
0.28,1,1.0685817155380577,2.5,1.6338146506024338
0.29,1,0.3216752059766756,2.5,0.9006655032258626
0.3,1,0.134498430522222,2.5,0.7269858300402441
0.31,1,0.08815026033946771,2.5,0.6938865370360017
0.32,1,-0.2921116810536258,2.5,0.3266367077145923
0.33,1,0.7078615856806537,2.5,1.339396234031727
0.34,1,0.17667802937224783,2.5,0.8207834762330298
0.35,1,1.4381375917339707,2.5,2.0946082711574068
0.36,1,0.4664135162670487,2.5,1.1350532848643837
0.37,1,1.0715143402870706,2.5,1.7521360272480815
0.38,1,-0.007092825793594326,2.5,0.6853321528278637
0.39,1,0.17768044929180127,2.5,0.8817382289862022
0.4,1,0.02258135986487242,2.5,0.7381091976703473
0.41,1,0.10451187852118063,2.5,0.8313544091805947
0.42,1,0.9000176343655499,2.5,1.6380265180871092
0.43,1,0.4894608905641501,2.5,1.238494477618365
0.44,1,1.4463804995489538,2.5,2.206303510897192
0.45,1,0.30478368415997614,2.5,1.0754669073483671
0.46,1,0.9301976370850581,2.5,1.7115176366739622
0.47,1,-0.24694562573725687,2.5,0.5448932160971192
0.48,1,0.3340784011956325,2.5,1.1363233898546135
0.49,1,0.04883624057126179,2.5,0.8613796693670797
0.5,1,0.5552399012304662,2.5,1.3779788141567872
0.51,1,1.026525074506322,2.5,1.8593610395648927
0.52,1,0.6979765863165903,2.5,1.5408154796782834
